Date;Q;T
30.01.2020;86205;-2
31.01.2020;86072;-2
01.02.2020;85617;-4
02.02.2020;83720;-5
03.02.2020;87793;0
04.02.2020;92583;-1
05.02.2020;91964;-4
06.02.2020;94081;-8
07.02.2020;91623;-5
08.02.2020;87608;-8
09.02.2020;86403;-5
10.02.2020;84978;-1
11.02.2020;83256;1
12.02.2020;84007;2
13.02.2020;83633;1
14.02.2020;83951;1
15.02.2020;83052;0
16.02.2020;83217;-1
17.02.2020;82268;1
18.02.2020;80956;4
19.02.2020;81843;4
20.02.2020;83201;4
21.02.2020;81272;2
22.02.2020;81140;1
23.02.2020;78365;3
24.02.2020;82234;2
25.02.2020;84053;1
26.02.2020;84350;-1
27.02.2020;82905;-4
28.02.2020;83464;-4
29.02.2020;81591;-5
01.03.2020;80611;-5
02.03.2020;81156;-2
03.03.2020;78914;3
04.03.2020;77186;1
05.03.2020;74654;2
06.03.2020;75768;3
07.03.2020;75078;2
08.03.2020;73384;0
09.03.2020;73621;2
10.03.2020;71729;2
11.03.2020;72567;3
12.03.2020;74486;4
13.03.2020;77672;3
14.03.2020;80447;2
15.03.2020;79067;-3
16.03.2020;83356;-3
17.03.2020;77812;0
18.03.2020;75835;-1
19.03.2020;75780;3
20.03.2020;78644;4
21.03.2020;83233;1
22.03.2020;83052;-3
23.03.2020;79900;-3
24.03.2020;79158;-3
25.03.2020;75920;0
26.03.2020;71119;6
27.03.2020;68505;6
28.03.2020;66512;5
29.03.2020;69838;6
30.03.2020;71449;1
31.03.2020;69529;-3
01.04.2020;67330;-3
02.04.2020;66546;1
03.04.2020;67420;2
04.04.2020;66522;4
05.04.2020;67877;3
06.04.2020;66542;2
07.04.2020;61772;1
08.04.2020;61661;9
09.04.2020;62758;9
10.04.2020;64204;7
11.04.2020;64122;4
12.04.2020;63298;2
13.04.2020;64956;1
14.04.2020;65827;7
15.04.2020;65991;2
16.04.2020;65358;3
17.04.2020;65251;3
18.04.2020;64909;4
19.04.2020;64232;4
20.04.2020;67832;4
21.04.2020;67190;6
22.04.2020;67499;8
23.04.2020;68319;7
24.04.2020;69491;-4
25.04.2020;67646;4
26.04.2020;66271;3
27.04.2020;68460;4
28.04.2020;68554;4
29.04.2020;71767;4
30.04.2020;67170;3
01.05.2020;61111;3
02.05.2020;57373;5
03.05.2020;56826;10
04.05.2020;55853;12
05.05.2020;54671;11
06.05.2020;53813;11
07.05.2020;54086;13
08.05.2020;50625;10
09.05.2020;49072;10
10.05.2020;48450;12
11.05.2020;51034;10
12.05.2020;53771;15
13.05.2020;54130;5
14.05.2020;54580;7
15.05.2020;54496;7
16.05.2020;54281;7
17.05.2020;54560;8
18.05.2020;56441;9
19.05.2020;56143;7
20.05.2020;59238;9
21.05.2020;63129;8
22.05.2020;60355;6
23.05.2020;57798;10
24.05.2020;54631;10
25.05.2020;47854;12
26.05.2020;40777;14
27.05.2020;40343;15
28.05.2020;41013;16
29.05.2020;39851;15
30.05.2020;38399;15
31.05.2020;38923;15
01.06.2020;39220;13
02.06.2020;39909;11
03.06.2020;39086;13
04.06.2020;40374;15
05.06.2020;38287;14
06.06.2020;38474;16
07.06.2020;38565;17
08.06.2020;41062;21
09.06.2020;43095;25
10.06.2020;44410;24
11.06.2020;44544;21
12.06.2020;38964;17
13.06.2020;36350;18
14.06.2020;37786;18
15.06.2020;40662;19
16.06.2020;41799;22
17.06.2020;41810;25
18.06.2020;41449;24
19.06.2020;38975;26
20.06.2020;36517;24
21.06.2020;38619;18
22.06.2020;39600;17
23.06.2020;36364;20
24.06.2020;37608;22
25.06.2020;42450;24
26.06.2020;38051;25
27.06.2020;34467;26
28.06.2020;36223;25
29.06.2020;41532;20
30.06.2020;40884;19
01.07.2020;41369;21
02.07.2020;42502;18
03.07.2020;40664;20
04.07.2020;37246;20
05.07.2020;38067;20
06.07.2020;39394;19
07.07.2020;41271;21
08.07.2020;40254;19
09.07.2020;38674;17
10.07.2020;36629;17
11.07.2020;37052;17
12.07.2020;38006;19
13.07.2020;39799;18
14.07.2020;38486;18
15.07.2020;39544;17
16.07.2020;37766;16
17.07.2020;37611;17
18.07.2020;35739;19
19.07.2020;40216;22
20.07.2020;44756;22
21.07.2020;45324;23
22.07.2020;46781;21
23.07.2020;47050;17
24.07.2020;45428;17
25.07.2020;44217;16
26.07.2020;44104;15
27.07.2020;43860;19
28.07.2020;43567;20
29.07.2020;41163;21
30.07.2020;42587;20
31.07.2020;43626;18
01.08.2020;41309;16
02.08.2020;41974;17
03.08.2020;41875;17
04.08.2020;41805;19
05.08.2020;44591;18
06.08.2020;44799;20
07.08.2020;45129;19
08.08.2020;43878;20
09.08.2020;44773;21
10.08.2020;45526;22
11.08.2020;46177;20
12.08.2020;46299;14
13.08.2020;47163;15
14.08.2020;44324;15
15.08.2020;42583;16
16.08.2020;45556;18
17.08.2020;47672;20
18.08.2020;47280;16
19.08.2020;48442;16
20.08.2020;48657;16
21.08.2020;46118;18
22.08.2020;43989;19
23.08.2020;44156;19
24.08.2020;43237;18
25.08.2020;42429;19
26.08.2020;43310;17
27.08.2020;47122;17
28.08.2020;46925;13
29.08.2020;48816;14
30.08.2020;50883;16
31.08.2020;54620;15
01.09.2020;54539;15
02.09.2020;53987;15
03.09.2020;50672;13
04.09.2020;50649;17
05.09.2020;51406;18
06.09.2020;51622;17
07.09.2020;50504;16
08.09.2020;52443;15
09.09.2020;50447;13
10.09.2020;52654;14
11.09.2020;51735;14
12.09.2020;51428;13
13.09.2020;50533;12
14.09.2020;51747;14
15.09.2020;53895;14
16.09.2020;51646;12
17.09.2020;55492;10
18.09.2020;56261;11
19.09.2020;57417;9
20.09.2020;57935;10
21.09.2020;55733;9
22.09.2020;56067;13
23.09.2020;54800;14
24.09.2020;53453;14
25.09.2020;51972;17
26.09.2020;49198;16
27.09.2020;44802;16
28.09.2020;47729;15
29.09.2020;46954;12
30.09.2020;46682;11
01.10.2020;49845;13
02.10.2020;49620;12
03.10.2020;47788;12
04.10.2020;49291;12
05.10.2020;52889;12
06.10.2020;56060;14
07.10.2020;54935;13
08.10.2020;55063;13
09.10.2020;52548;12
10.10.2020;52447;13
11.10.2020;53291;12
12.10.2020;54793;9
13.10.2020;58879;11
14.10.2020;59936;8
15.10.2020;66122;6
16.10.2020;68369;6
17.10.2020;68349;3
18.10.2020;68682;3
19.10.2020;69940;2
20.10.2020;72596;2
21.10.2020;72708;2
22.10.2020;68993;0
23.10.2020;68031;4
24.10.2020;68999;9
25.10.2020;66987;2
26.10.2020;65594;3
27.10.2020;62758;5
28.10.2020;63200;9
29.10.2020;60608;9
30.10.2020;62098;7
31.10.2020;65437;9
01.11.2020;66848;6
02.11.2020;66793;1
03.11.2020;63840;1
04.11.2020;64266;6
05.11.2020;65138;8
06.11.2020;64515;6
07.11.2020;63451;6
08.11.2020;69291;8
09.11.2020;71663;5
10.11.2020;73251;1
11.11.2020;72091;1
12.11.2020;70514;-2
13.11.2020;72959;2
14.11.2020;73631;2
15.11.2020;74476;1
16.11.2020;74988;0
17.11.2020;75199;0
18.11.2020;71735;1
19.11.2020;70605;2
20.11.2020;75387;7
21.11.2020;75643;2
22.11.2020;75310;0
23.11.2020;74121;1
24.11.2020;73638;3
25.11.2020;73388;2
26.11.2020;69998;-1
27.11.2020;74706;1
28.11.2020;80844;1
29.11.2020;77720;1
30.11.2020;77285;-1
01.12.2020;80675;0
02.12.2020;80107;0
03.12.2020;79772;0
04.12.2020;79858;-2
05.12.2020;78767;-2
06.12.2020;80822;0
07.12.2020;83581;1
08.12.2020;86270;-3
09.12.2020;87855;-7
10.12.2020;91992;-6
11.12.2020;88703;-8
12.12.2020;89346;-8
13.12.2020;87396;-3
14.12.2020;87039;-8
15.12.2020;83727;-4
16.12.2020;82609;-3
17.12.2020;81273;-1
18.12.2020;82482;0
19.12.2020;82808;-3
20.12.2020;81149;-1
21.12.2020;81902;2
22.12.2020;80984;0
23.12.2020;81859;0
24.12.2020;80078;-1
25.12.2020;84676;-1
26.12.2020;87027;-2
27.12.2020;86381;-5
28.12.2020;87427;-9
29.12.2020;87800;-6
30.12.2020;82136;-4
31.12.2020;76990;-2
